sample_name,species,common_genome_name,authority,ftp_file_path,file_type,description
hg38-alt-sm-113-ensembl, homo_sapiens, hg38, ensembl, https://ftp.ensembl.org/pub/release-113/fasta/homo_sapiens/dna/Homo_sapiens.GRCh38.dna_sm.alt.fa.gz, fasta, alt sm sites fasta of GRCh38 release 113
hg38-toplevel-sm-113-ensembl, homo_sapiens, hg38, ensembl, https://ftp.ensembl.org/pub/release-113/fasta/homo_sapiens/dna/Homo_sapiens.GRCh38.dna_sm.toplevel.fa.gz, fasta, top level sm fasta of GRCh38 release 113
hg38-primary-sm-113-ensembl, homo_sapiens, hg38, ensembl, https://ftp.ensembl.org/pub/release-113/fasta/homo_sapiens/dna/Homo_sapiens.GRCh38.dna_sm.primary_assembly.fa.gz, fasta,  primary fasta sm fasta of GRCh38 release 113
GRCh38-ena, homo_sapiens, hg38, ENA, https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_000001405.29?download=true&gzip=true, fasta, ref genome hosted on ENA
GRCh38-p14-47-gencode, homo_sapiens, hg38, gencode, https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_47/GRCh38.p14.genome.fa.gz, fasta, release 47 of gencode GRCh38
GRCh38-primary-assembly-47-gencode, homo_sapiens, hg38, gencode, https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_47/GRCh38.primary_assembly.genome.fa.gz, fasta, release 47 of gencode primary assembly GRCh38
GRCh37-primary-assembly-47-gencode, homo_sapiens, hg19, gencode, https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_47/GRCh37_mapping/GRCh37.primary_assembly.genome.fa.gz, fasta, release 47 of gencode primary assembly GRCh37
GRCh38-p14-46-gencode, homo_sapiens, hg38, gencode, https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_46/GRCh38.p14.genome.fa.gz, fasta, release 46 of gencode GRCh38
GRCh38-primary-assembly-46-gencode, homo_sapiens, hg38, gencode, https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_46/GRCh38.primary_assembly.genome.fa.gz, fasta, release 46 of gencode primary assembly GRCh38
GRCh37-primary-assembly-46-gencode, homo_sapiens, hg19, gencode, https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_46/GRCh37_mapping/GRCh37.primary_assembly.genome.fa.gz, fasta, release 46 of gencode primary assembly GRCh37
hg18-ucsc,homo_sapiens,hg18,ucsc,https://hgdownload.cse.ucsc.edu/goldenpath/hg18/bigZips/hg18.fa.gz,fasta, 2006 release of hg18 ucsc
GRCh37-igenomes-ensembl, homo_sapiens, hg19, igenomes, https://s3.amazonaws.com/igenomes.illumina.com/Homo_sapiens/Ensembl/GRCh37/Homo_sapiens_Ensembl_GRCh37.tar.gz, fasta, igenomes hosted GRCh37 FAILS NOT SINGLE FASTA FILE
GRCh38-igenomes-ncbi, homo_sapiens, hg38, igenomes, https://s3.amazonaws.com/igenomes.illumina.com/Homo_sapiens/NCBI/GRCh38/Homo_sapiens_NCBI_GRCh38.tar.gz, fasta, igenomes hosted GRCh38 FAILS NOT SINGLE FASTA FILE
GRCh38-igenomes-build37-2-ncbi, homo_sapiens, hg38, igenomes, https://s3.amazonaws.com/igenomes.illumina.com/Homo_sapiens/NCBI/build37.2/Homo_sapiens_NCBI_build37.2.tar.gz, fasta, igenomes hosted GRCh38 build 37.2 FAILS NOT SINGLE FASTA FILE
GRCh38-igenomes-build37-1-ncbi, homo_sapiens, hg38, igenomes, https://s3.amazonaws.com/igenomes.illumina.com/Homo_sapiens/NCBI/build37.1/Homo_sapiens_NCBI_build37.1.tar.gz, fasta, igenomes hosted GRCh38 build 37.1 FAILS NOT SINGLE FASTA FILE
GRCh38-igenomes-build36-3-ncbi, homo_sapiens, hg38, igenomes, https://s3.amazonaws.com/igenomes.illumina.com/Homo_sapiens/NCBI/build36.3/Homo_sapiens_NCBI_build36.3.tar.gz, fasta, igenomes hosted GRCh38 build 36.3 FAILS NOT SINGLE FASTA FILE
GRCh38-igenomes-decoy-ncbi, homo_sapiens, hg38, igenomes, https://s3.amazonaws.com/igenomes.illumina.com/Homo_sapiens/NCBI/GRCh38Decoy/Homo_sapiens_NCBI_GRCh38Decoy.tar.gz, fasta, igenomes hosted GRCh38 decoy FAILS NOT SINGLE FASTA FILE
hg38-igenomes-ucsc, homo_sapiens, hg38, igenomes, http://igenomes.illumina.com.s3-website-us-east-1.amazonaws.com/Homo_sapiens/UCSC/hg38/Homo_sapiens_UCSC_hg38.tar.gz, fasta, igenomes hosted hg38 FAILS NOT SINGLE FASTA FILE
hg19-igenomes-ucsc, homo_sapiens, hg19, igenomes, http://igenomes.illumina.com.s3-website-us-east-1.amazonaws.com/Homo_sapiens/UCSC/hg19/Homo_sapiens_UCSC_hg19.tar.gz, fasta, igenomes hosted hg19 FAILS NOT SINGLE FASTA FILE
hg18-igenomes-ucsc, homo_sapiens, hg18, igenomes, http://igenomes.illumina.com.s3-website-us-east-1.amazonaws.com/Homo_sapiens/UCSC/hg18/Homo_sapiens_UCSC_hg18.tar.gz, fasta, igenomes hosted hg18 FAILS NOT SINGLE FASTA FILE
hs37-1kg-ncbi, homo_sapiens, hg19, ncbi, ftp://ftp-trace.ncbi.nih.gov/1000genomes/ftp/technical/reference/human_g1k_v37.fasta.gz, fasta, hs37-1kg genome referenced on HL blog 2017 FAILS WILL NOT EXTRACT
hs37d5-ncbi, homo_sapiens, hg19, ncbi, ftp://ftp-trace.ncbi.nih.gov/1000genomes/ftp/technical/reference/phase2_reference_assembly_sequence/hs37d5.fa.gz, fasta, hs37d5 genome referenced on HL blog 2017 FAILS WILL NOT EXTRACT
